,STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE_ADD,LOCALE_MOD,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOMATCH,GEO_ID,Total,White,Black,AIAN,Asian,Hawaiian,Other,Two,White_pct,Black_pct,AIAN_pct,Asian_pct,Hawaiian_pct,Other_pct,Two_pct,Poverty,White_pov,Black_pov,Median_Income,NAME,STATE_POVERTY_RANKING,STATE_INCOME_RANKING,TOTATTEN_RANKING,SALARIES_RANKING,HRS_OPEN_RANKING,BKVOL_RANKING,PITUSR_RANKING
10,AL,AL0061,999-042,LEIGHTON PUBLIC LIBRARY,8740 MAIN STREET,LEIGHTON,35646,3701,P O BOX 484,LEIGHTON,35646,0484,COLBERT,2564465380,NO,MJ,SO,Y,CI2,N,10/01/2018,09/30/2019,4996,4996,1,0,0,0.0,1.0,1.0,2.0,10960,9181,120,940,21201,-9,-9,-9,1204,0,417,1621,-9,17823,0,0,0,0,0,0,9052,0,25,0,1500,0,1,61,62,3,960,5054,485,1623,4295,853,0,4295,0,0,4295,0,0,27,25,0,459,420,0,3,3342,14000,420,2019,5,1,0,0,0,-87.5289,34.70061,1,33,42160,55241,41,41,208.02,3048,104,22520,0,A,1400000US01033020802,3422,2772,422,37,6,4,29,152,0.8100526008182349,0.12331969608416131,0.01081239041496201,0.0017533606078316774,0.0011689070718877848,0.00847457627118644,0.04441846873173583,17.9,16.6,21.3,43945.0,LEIGHTON PUBLIC LIBRARY,16.0,33.0,5,3,1,4,14
11,AL,AL0062,999-050,MUSCLE SHOALS PUBLIC LIBRARY,1918 EAST AVALON AVENUE,MUSCLE SHOALS,35661,3120,1918 EAST AVALON AVENUE,MUSCLE SHOALS,35661,3120,COLBERT,2563869212,NO,MJ,SO,Y,CI2,N,10/01/2018,09/30/2019,18309,18309,1,0,0,1.0,4.0,8.0,12.0,804022,18977,0,20547,843546,319786,96677,416463,73193,28000,37164,138357,288726,843546,9898,0,0,0,9898,9898,52021,167000,2562,76673,12424,16110,7,61,68,49,2193,308880,44726,25740,195222,51388,46069,149153,1952,48021,197174,0,0,220,144,19,3015,2623,189,29,24623,47623,104365,2019,5,1,0,0,0,-87.6438,34.74442,1,33,53016,55241,13,13,207.03,1005,104,22520,0,A,1400000US01033020703,6796,4782,1313,40,164,0,142,355,0.70364920541495,0.19320188346085934,0.005885815185403178,0.02413184226015303,0.0,0.020894643908181285,0.052236609770453205,9.0,7.9,12.6,53644.0,MUSCLE SHOALS PUBLIC LIBRARY,35.0,14.0,25,35,21,33,40
12,AL,AL0063,516-004,ROGERSVILLE PUBLIC LIBRARY,74 BANK STREET,ROGERSVILLE,35652,7609,PO BOX 190,ROGERSVILLE,35652,0190,LAUDERDALE,2562470151,ME,CI,SO,Y,CO2,N,10/01/2018,09/30/2019,1230,1230,1,0,0,1.0,1.0,1.5,2.5,104585,9657,4000,9666,127908,80597,3657,84254,12521,1500,6610,20631,20946,125831,0,0,0,0,0,10353,37292,32749,1372,6874,2252,609,2,61,63,23,2080,19117,4963,4762,34817,14222,3603,31214,6286,9889,41103,0,0,137,86,0,2512,1641,0,12,3548,3900,-1,2019,5,1,0,0,0,-87.292,34.82427,1,77,66216,92729,42,42,118.02,2028,105,22520,0,A,1400000US01077011802,3739,3282,262,14,17,3,25,136,0.8777748060978872,0.0700722118213426,0.003744316662209147,0.004546670232682536,0.0008023535704733886,0.0066862797539449055,0.036373361861460285,11.5,9.3,23.7,49750.0,ROGERSVILLE PUBLIC LIBRARY,31.0,21.0,22,20,15,28,15
13,AL,AL0078,107-003,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,152 SPARKMAN STREET NW,HARTSELLE,35640,2424,152 SPARKMAN ST NW,HARTSELLE,35640,2424,MORGAN,2567739880,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,22752,22752,1,0,0,0.0,1.0,1.0,2.0,118904,21016,5000,5364,150284,-9,-9,-9,20682,3000,818,24500,-9,150285,0,0,0,0,0,0,31670,31986,635,6627,742,609,0,61,61,0,2080,16347,5200,10997,42831,14994,7188,35643,6,7194,42837,0,0,30,22,0,884,785,0,7,6264,5301,-1,2019,5,1,0,0,0,-86.9349,34.44424,1,103,33448,119679,23,23,53.03,1027,105,19460,0,A,1400000US01103005303,3893,3461,126,25,22,3,75,181,0.8890315951708194,0.03236578474184434,0.006421782686873876,0.005651168764449011,0.0007706139224248652,0.019265348060621627,0.046493706652966864,11.2,8.2,52.9,41127.0,HARTSELLE   WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,32.0,36.0,11,4,16,25,29
14,AL,AL0082,500-002,FAIRHOPE PUBLIC LIBRARY,501 FAIRHOPE AVENUE,FAIRHOPE,36532,2111,501 FAIRHOPE AVE.,FAIRHOPE,36532,2111,BALDWIN,2519287483,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,20935,20935,1,0,0,4.0,7.0,8.26,15.26,818477,19337,20000,110514,968328,505203,120587,625790,64053,30876,17532,112461,119906,858157,0,0,0,0,0,0,76378,39995,6111,8580,4716,613,6,61,67,82,2704,161222,84460,16273,194851,61663,37460,157391,18313,55773,213164,13748,19981,1402,252,130,17573,8508,1133,73,20642,85091,108110,2019,5,1,0,0,0,-87.9003,30.52306,1,3,25240,223234,13,13,112.01,2045,101,19300,0,A,1400000US01003011201,4895,4439,98,8,45,6,42,257,0.9068437180796731,0.020020429009193055,0.001634320735444331,0.009193054136874362,0.0012257405515832482,0.008580183861082738,0.05250255362614913,12.2,5.5,99.2,61377.0,FAIRHOPE PUBLIC LIBRARY,29.0,8.0,39,37,35,39,38
15,AL,AL0083,999-072,FOLEY PUBLIC LIBRARY,319 EAST LAUREL AVENUE,FOLEY,36535,2680,319 EAST LAUREL AVENUE,FOLEY,36535,2680,BALDWIN,2519437665,NO,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,18288,18288,1,0,0,1.0,1.0,11.0,12.0,840803,16892,12000,29337,899032,572445,107708,680153,64642,16000,32000,112642,95900,888695,0,0,0,0,0,0,84849,35337,6020,14555,7130,561,6,61,67,59,2912,463800,84970,22926,799830,208318,256396,543434,72457,328853,872287,314,40,618,164,149,18535,8534,2790,36,32831,28518,89212,2019,5,1,0,0,0,-87.6789,30.40641,1,3,26992,223234,31,31,115.01,1126,101,19300,0,A,1400000US01003011501,7216,5735,560,69,37,5,248,562,0.7947616407982262,0.07760532150776053,0.009562084257206208,0.00512749445676275,0.0006929046563192905,0.03436807095343681,0.07788248337028825,14.0,10.9,52.7,45042.0,FOLEY PUBLIC LIBRARY,25.0,30.0,40,38,37,41,41
16,AL,AL0085,500-005,LOXLEY PUBLIC LIBRARY,1001 EAST LOXLEY AVENUE,LOXLEY,36551,M,P. O. BOX 527,LOXLEY,36551,0527,BALDWIN,2519645695,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,2336,2336,1,0,0,0.0,1.18,0.0,1.18,36185,2158,0,2592,40935,-9,-9,-9,3249,1500,203,4952,-9,43839,0,0,0,0,0,0,7867,27494,239,6767,932,607,0,61,61,1,1338,5737,336,774,8972,4558,1730,7242,259,1989,9231,10,5,68,34,3,776,507,9,5,1212,194,0,2019,5,1,0,0,0,-87.7528,30.61994,1,3,44608,223234,23,23,109.03,1055,101,19300,0,A,1400000US01003010903,6599,5008,911,38,59,1,173,409,0.7589028640703137,0.13805121988180027,0.0057584482497348086,0.008940748598272466,0.00015153811183512653,0.02621609334747689,0.061979087740566756,9.3,7.7,20.8,60846.0,LOXLEY PUBLIC LIBRARY,34.0,9.0,10,5,2,2,8
17,AL,AL0090,501-001,ADAMSVILLE PUBLIC LIBRARY,4825 MAIN STREET,ADAMSVILLE,35005,M,P.O. BOX 309,ADAMSVILLE,35005,0309,JEFFERSON,2056743399,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,4347,4347,1,0,0,0.0,1.0,0.0,1.0,71077,3362,0,6713,81152,-9,-9,-9,5784,0,1525,7309,-9,81152,0,0,0,0,0,0,13432,47960,409,19291,1063,0,3,61,64,0,2080,9321,2377,2051,12361,2732,2556,9805,996,3552,13357,1907,2508,107,13,0,396,239,0,10,4870,1763,0,2019,5,2,0,0,0,-86.9532,33.60013,1,73,00460,658573,21,21,121.04,3022,106,13820,0,A,1400000US01073012104,2806,1398,1169,25,3,1,89,121,0.4982181040627227,0.4166072701354241,0.008909479686386316,0.0010691375623663579,0.0003563791874554526,0.03171774768353528,0.043121881682109765,18.3,7.8,32.3,45720.0,ADAMSVILLE PUBLIC LIBRARY,14.0,27.0,3,6,17,9,21
18,AL,AL0092,501-003,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,50 OAK STREET,MOUNTAIN BROOK,35213,4219,50 OAK STREET,50 OAK STREET,35213,4219,JEFFERSON,2058790459,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,20381,20381,1,0,0,14.7,15.7,15.2,30.9,3310963,13233,0,39726,3363922,1778586,378119,2156705,176315,117263,53265,346843,732740,3236288,0,0,0,0,0,0,112487,137165,8435,63945,8431,3298,8,61,69,151,3063,239524,177432,14668,450012,230641,72459,377553,285241,357700,735253,24726,18192,846,555,98,31555,24196,2836,26,21660,19393,89096,2019,5,2,0,0,0,-86.7556,33.50098,1,73,51696,658573,21,21,108.01,2042,106,13820,0,A,1400000US01073010801,7112,6591,136,2,69,0,39,275,0.9267435320584927,0.019122609673790775,0.00028121484814398203,0.00970191226096738,0.0,0.0054836895388076495,0.038667041619797525,5.9,6.4,1.1,117478.0,MOUNTAIN BROOK   EMMET O NEAL LIBRARY,40.0,1.0,41,42,40,42,39
19,AL,AL0096,501-007,GRAYSVILLE PUBLIC LIBRARY,315 SOUTH MAIN STREET,GRAYSVILLE,35073,1404,315 SOUTH MAIN STREET,GRAYSVILLE,35073,1404,JEFFERSON,2056743040,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,2094,2094,1,0,0,0.0,1.0,0.5,1.5,66000,1360,0,10618,77978,-9,-9,-9,2741,0,0,2741,-9,77171,0,0,0,0,0,0,14727,47960,476,19291,571,0,2,61,63,0,2080,12480,3905,1481,12980,1871,2202,10778,6,2208,12986,1188,4075,4,4,0,294,294,0,6,2833,849,-1,2019,5,2,0,0,0,-86.9733,33.62655,1,73,31384,658573,21,21,121.03,4002,106,13820,0,A,1400000US01073012103,4277,1581,2496,13,12,2,49,124,0.3696516249707739,0.5835866261398176,0.00303951367781155,0.0028057049333645077,0.00046761748889408465,0.011456628477905073,0.028992284311433247,15.7,19.1,13.0,55897.0,GRAYSVILLE PUBLIC LIBRARY,21.0,12.0,2,7,18,12,12
20,AL,AL0097,501-008,HOMEWOOD PUBLIC LIBRARY,1721 OXMOOR ROAD,HOMEWOOD,35209,4036,1721 OXMOOR ROAD,HOMEWOOD,35209,4036,JEFFERSON,2053326600,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,25476,25476,1,0,0,10.35,28.9,5.96,34.86,2575185,16541,16900,19030,2627656,1503815,441866,1945681,112536,107466,41080,261082,238376,2445139,454571,0,0,0,454571,428767,77506,416125,9405,359854,15914,38949,13,61,74,220,3172,435509,76062,21299,680584,249307,152175,528409,141935,294110,822519,33487,27038,1562,747,304,84907,59814,13692,52,41745,62552,138376,2019,5,1,0,0,0,-86.7953,33.47551,1,73,35800,658573,21,21,107.02,1092,106,13820,0,A,1400000US01073010702,4898,3928,426,9,90,6,93,346,0.8019599836668028,0.08697427521437322,0.0018374846876276032,0.01837484687627603,0.0012249897917517355,0.0189873417721519,0.07064107799101674,5.7,3.1,71.6,94231.0,HOMEWOOD PUBLIC LIBRARY,42.0,3.0,43,41,42,40,42
21,AL,AL0098,501-009,HOOVER PUBLIC LIBRARY,200 MUNICIPAL DRIVE,HOOVER,35216,5510,200 MUNICIPAL DRIVE,HOOVER,35216,5510,JEFFERSON,2054447800,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,84920,84920,1,0,0,27.38,37.51,36.18,73.69,7049953,55136,20000,150219,7275308,3906095,1273220,5179315,245175,285237,113739,644151,1367504,7190970,240600,0,0,0,240600,240600,213826,410738,13339,353178,22420,39697,13,61,74,207,3468,547859,53832,50665,1650847,699299,259280,1391567,210603,469883,1861450,41886,57898,1312,704,39,96439,72243,1584,94,56831,187158,426676,2019,5,2,0,0,0,-86.8059,33.38883,1,73,35896,658573,13,13,129.08,1009,106,13820,0,A,1400000US01073012908,4352,2130,1199,44,207,16,357,399,0.48943014705882354,0.27550551470588236,0.01011029411764706,0.047564338235294115,0.003676470588235294,0.08203125,0.09168198529411764,8.7,6.8,16.2,50500.0,HOOVER PUBLIC LIBRARY,37.0,19.0,44,44,43,44,43
22,AL,AL0099,501-010,HUEYTOWN PUBLIC LIBRARY,1372 HUEYTOWN ROAD,HUEYTOWN,35023,2443,1372 HUEYTOWN ROAD,HUEYTOWN,35023,2443,JEFFERSON,2054911443,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,15460,15460,1,0,0,1.0,1.0,3.1,4.1,118591,9996,0,18710,147297,70708,2958,73666,24181,250,1166,25597,69653,168916,0,0,0,0,0,0,19582,47690,427,19291,1516,0,3,61,64,20,2288,26977,3249,5326,54070,15408,7279,46791,3104,10383,57174,4104,4958,131,27,0,1750,753,0,14,16284,5040,271589,2019,5,2,0,0,0,-86.9969,33.44806,1,73,36448,658573,21,21,100.01,2027,106,13820,0,A,1400000US01073010001,5681,2693,2272,15,19,3,358,321,0.4740362612216159,0.39992958986093996,0.002640380214750924,0.0033444816053511705,0.0005280760429501848,0.06301707445872205,0.056504136595669774,11.9,7.3,17.9,38822.0,HUEYTOWN PUBLIC LIBRARY,30.0,39.0,21,18,27,19,37
